original,renamed,caption
542BC677-22D8-437A-9B9D-FEBDCBF03E69_1_105_c.jpeg,VII_AstroGlyphs_Table_H_Series.jpg,"Egyptian H-series glyphs as reference alphabet for symbol keys (Mater, Rete, etc.)."
4256BB33-57E5-4211-9740-6100B03A9CEC_1_105_c.jpeg,VII_Astrolabe_Schematic_Rete_Ecliptic.jpg,"Classical astrolabe layers — rete, ecliptic, date ring — bridging astronomy and geometry."
5CA0D13F-22F2-478A-8A7D-AA7137593DEA_1_105_c.jpeg,VII_Resonance_Compass_Baseline.jpg,"Resonance compass base layout with obelisks (3↔7), 11-mark and flower-of-time wheel."
D4923D39-3CF9-48B7-BB7F-031CF285A0AC_1_105_c.jpeg,VII_Astrolabium_German_Labels.jpg,"Astrolabium: German-labelled didactic plate showing zenith, almucantar, and rete."
39606594-2BEB-4287-A5F6-31B0E46E12BB_1_105_c.jpeg,VII_Resonance_Compass_Mayan17.jpg,Resonance compass over Mayan calendar round; the ‘17’ crowning marker.
E04D5399-2175-454A-BEF1-3DB12A58F341_1_105_c.jpeg,VII_Neutrino_Circuit_FlowerOfTime.jpg,Neutrino circuit sketch — alpha/omega loop around flower-of-time.
8190A3AD-2657-41FA-BF2A-8184E57E195C_1_105_c.jpeg,VII_SolarThread_12321_Atlantis.jpg,Solar-thread motif with 1-2-3-2-1 symmetry and Earth/Atlantis marker.
5AC5609D-ED8A-4BE3-94DD-FF50B40ED3CA_1_105_c.jpeg,VII_Harmonic_Wave_1231.jpg,Harmonic wave 1231 with 111/222 sidebands — cathedral motif.
2BB8DCDF-C05A-4378-BC0C-28ECE5C71D43_1_105_c.jpeg,VII_Resonance_Compass_Obelisks_11.jpg,Resonance compass with twin obelisks and 11-axis alignment.
D1681E16-306B-491E-A9F1-AFD112C36DFA_1_105_c.jpeg,VII_Resonance_Compass_MayanRound.jpg,Mayan calendar round integrated into resonance compass geometry.
D353B920-BBDC-4F93-B051-2A2830DA9CDC_1_105_c.jpeg,VII_Mater_Limbus_Tympanon_Rete_Plates.jpg,"Four plates: Mater, Limbus, Tympanon, Rete — climate/calendar overlays and stereographic circle."
6193D811-3BB3-438B-9325-ECF72A475083_1_105_c.jpeg,VII_Ancient_Navigation_System.jpg,"Ancient navigation schematic: tent-of-stars, Euclid/Eclectic overlap, horizon lines."
A775991D-226A-4A39-9C21-138FA678942B_1_105_c.jpeg,VII_Tun_Haab_FlowerOfTime.jpg,TUN↔HAAB linkage around flower-of-time; Earth gate anchor.
6400D7A6-4237-4EC2-A6FA-9CAC54EBCAD1_1_105_c.jpeg,VII_Spiral_Completes_501_503.jpg,‘Spiral completes’ panel with 501→503 transition and hourglass.
A363FFA5-3AE4-412B-8785-45262357F20D_1_105_c.jpeg,VII_Visual_Spiral_503.jpg,Golden spiral rendering associated with prime 503.
3586C164-8566-4A26-9FEA-9C42E03A5974_1_105_c.jpeg,VII_5015_501503_Phi.jpg,5015/501503 numerics beside seed-of-life motif; φ≈1.6213 panel.
08DE9953-69E2-4FCF-AE88-78A1A205C49B_1_105_c.jpeg,VII_Vesica_Petals_290_21_974.jpg,Vesica + petal rosette with side indices (290/21/974).
C2DA8439-4CCF-4A43-8BAB-DBC45DC5467D_1_105_c.jpeg,VII_1972_VoidDate_Equivalence.jpg,Diagram equating 24.03.1972 with 29.02.1972—void-date symmetry.
432272CA-9ABE-4A69-AAD5-AAC1CF0914D7_1_105_c.jpeg,VII_Slipstream_BornOutside.jpg,Slipstream/bifurcation diagram with ‘Born-Outside’ escape point (void date).
8F6CB389-17E0-4A02-8C5C-B452BE839B62_1_105_c.jpeg,VII_GateOfLight_GateOfSilence.jpg,Diptych: Gate of Light vs Gate of Silence — angular deflection vs sealed resonance.
