Constant,Approx. Value,Symbolic Role,Field Role
33,33,"Christ number, vertebrae, eye-cycle",Spiral symmetry root
42,42,"Transition value, DNA branch switch",Möbius decision fork
137,137.035999...,"Fine structure constant, resonance switch",Inversion inflection
1836,1836.152...,Proton–electron mass ratio,Mass asymmetry marker
2040,2040,Scarab meta-resonance pivot,Pulse field synchronizer
63/64,0.984375,Horus fractional spin bridge,Discretized fold axis
729/730,~0.9986,Möbius twist minimal delta,Grid pulse synchrony
φ³/π²,~0.429,Harmonic modulation ratio,Scalar base for Scarab Equation
11:9,—,Octave transition,Scarab rhythm / Möbius arc
13:8,—,Fibonacci wave gate,Fold pulse division
1836:729,—,Mass resonance split,Final Harmonic Equation
2040 = 1836 + 204,—,Scarab frequency anchor,"Riemann linkage (204, 1836)"
101,Binary: 1100101,Scarab knot base,—
137,Binary: 10001001,Mirror-pulse vector,—
509,Binary: 111111101,Gate reflection pulse,—
1831/1836,—,Scarab proton-axis spine,—
