Number,Label,Category,Prime Factors,Notes
24,Crown Time Key,Prime Resonance,2×2×2×3,Root of 8×3 field; used in Möbius spiral
42,Inversion Axis,Temporal Field,2×3×7,Reversal point in grid echo timeline
89,Fibonacci Prime,Fibonacci,89,Central Fibonacci axis
144,Fibonacci Resonance,Fibonacci,2⁴×3²,Mirror to solar cycles
233,Golden Bloom,Fibonacci,233,Key Fibonacci resonance in crown bloom
377,Fibonacci Expansion,Fibonacci,13×29,Strong expansion harmonic
396,Tesla Frequency Mirror,Tesla Code,2²×3²×11,Frequency reflection pattern
9801,99² Mirror Square,Numerical Mirror,99×99,Perfect square of 99
1033,Symbolic Anchor,Prime Anchor,1033,Rosetta initiation prime
13332,Resonant Tetra Spiral,Structural Number,2²×3×1111,Geometrical step spiral
1836,Proton/Electron Ratio,Physical Constant,2²×3×153,Mapped to 7D harmonic field
237,Fine Grid Delta,Mirror Math,3×79,Difference to base grid
3301,Cicada Möbius Gate,Prime Portal,3301,Symbolic entrance to Möbius gate system
63426,Möbius Shell Structure,Prime System,2×3×10571,Used in Möbius number shell framework
