n,is_prime,golden_power,prime_resonance,resonance_match
1,False,1.618,,
2,True,2.618,2.0,no
3,True,4.236,3.0,no
4,False,6.854,,
5,True,11.089,5.0,no
6,False,17.942,,
7,True,29.03,7.0,no
8,False,46.971,,
9,False,75.999,,
10,False,122.966,,
11,True,198.959,11.0,no
12,False,321.916,,
13,True,520.86,13.0,no
14,False,842.751,,
15,False,1363.571,,
16,False,2206.258,,
17,True,3569.725,17.0,no
18,False,5775.815,,
19,True,9345.269,19.0,no
20,False,15120.646,,
21,False,24465.205,,
22,False,39584.702,,
23,True,64048.048,23.0,no
24,False,103629.741,,
25,False,167672.922,,
26,False,271294.787,,
27,False,438954.966,,
28,False,710229.135,,
29,True,1149150.74,29.0,no
30,False,1859325.897,,
