n,zeta(n),cos(n·θ),modulated_zeta
1,4.47921,0.45399,2.03352
2,1.62473,-0.58779,-0.95499
3,1.20185,-0.98769,-1.18706
4,1.08232,-0.30902,-0.33446
5,1.03693,0.70711,0.73322
6,1.01734,0.95106,0.96755
7,1.00835,0.15643,0.15774
8,1.00408,-0.80902,-0.81232
9,1.00201,-0.89101,-0.8928
10,1.00099,-0.0,-0.0
11,1.00049,0.89101,0.89145
12,1.00025,0.80902,0.80922
13,1.00012,-0.15643,-0.15645
14,1.00006,-0.95106,-0.95111
15,1.00003,-0.70711,-0.70713
16,1.00002,0.30902,0.30902
17,1.00001,0.98769,0.9877
18,1.0,0.58779,0.58779
19,1.0,-0.45399,-0.45399
20,1.0,-1.0,-1.0
